"filename", "language", "JavaScript JSX", "JavaScript", "SCSS", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\.eslintrc.cjs", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, -1, -32
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, -1, 0, 0, -1, -2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, -13, 0, -4, -17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package-lock.json", "JSON", 0, 0, 0, 0, -9017, 0, 0, 0, -1, -9018
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package.json", "JSON", 0, 0, 0, 0, -65, 0, 0, 0, -1, -66
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\public\mockServiceWorker.js", "JavaScript", 0, -208, 0, 0, 0, 0, 0, -43, -53, -304
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.css", "CSS", 0, 0, 0, -2, 0, 0, 0, 0, -1, -3
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 1, 1, 26
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 12, 94
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.scss", "SCSS", 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\newGroupChat.modal.jsx", "JavaScript JSX", 248, 0, 0, 0, 0, 0, 0, 6, 19, 273
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\newGroupChat.modal.scss", "SCSS", 0, 0, 104, 0, 0, 0, 0, 0, 2, 106
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\sticky.popover.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\resetPassword.component.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\resetPassword.component.scss", "SCSS", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\avatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\chat.user.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, -1, 10
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\chat.user.scss", "SCSS", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\invited.user.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\status.user.jsx", "JavaScript JSX", -2, 0, 0, 0, 0, 0, 0, -1, 2, -1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\status.user.scss", "SCSS", 0, 0, -29, 0, 0, 0, 0, 1, -1, -29
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\updateInfo.jsx", "JavaScript JSX", 81, 0, 0, 0, 0, 0, 0, 1, 12, 94
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\updateInfor.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\verify.component.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\index.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.jsx", "JavaScript JSX", 109, 0, 0, 0, 0, 0, 0, -1, 10, 118
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 4, 1, 34
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 4, 52
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 3, 0, 7
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.jsx", "JavaScript JSX", 92, 0, 0, 0, 0, 0, 0, 0, 7, 99
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 0, -1, 21
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, -1, 3
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\friend.sidebar.jsx", "JavaScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, -4, 0
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.css", "CSS", 0, 0, 0, -62, 0, 0, 0, 0, -8, -70
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.jsx", "JavaScript JSX", -1, 0, 0, 0, 0, 0, 0, 1, 0, 0
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\user.action.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\app.reducer.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\user.reducer.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.user.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\route.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\type\rootCss.type.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleChat.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 751, -207, 257, -64, -9082, -1, -13, -28, 7, -8380